grid_index,number_options,number_options_produce
102,1,0
148,2,1
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,0,0
196,1,1
197,2,2
198,1,1
199,2,1
200,2,1
201,2,1
202,2,1
203,2,1
204,1,0
205,1,0
206,1,0
207,1,0
208,2,0
209,2,0
210,1,0
238,1,1
239,1,1
240,1,1
241,1,1
242,0,0
243,0,0
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,2,2
251,2,2
252,2,1
253,2,1
254,2,1
255,2,1
256,2,1
257,2,1
258,1,0
259,1,0
260,2,0
261,2,0
262,1,0
263,1,0
264,1,0
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,2,2
303,2,2
304,2,2
305,4,3
306,3,2
307,3,2
308,3,2
309,3,2
310,2,1
311,2,1
312,2,0
313,3,1
314,2,0
315,1,0
316,1,0
317,1,0
342,1,1
343,3,1
344,3,1
345,4,2
346,5,2
347,5,2
348,5,2
349,3,2
350,1,1
351,3,3
352,4,4
353,4,4
354,3,3
355,2,2
356,2,2
357,3,3
358,3,3
359,3,2
360,3,2
361,3,2
362,3,2
363,3,2
364,5,3
365,3,1
366,4,2
367,3,2
368,3,2
369,3,2
370,2,1
393,1,1
394,1,1
395,3,1
396,3,1
397,5,2
398,6,2
399,6,2
400,5,2
401,5,2
402,7,4
403,6,5
404,5,4
405,4,4
406,4,4
407,5,5
408,5,5
409,5,5
410,3,3
411,3,3
412,2,2
413,3,2
414,3,2
415,3,2
416,4,3
417,7,5
418,6,4
419,4,3
420,4,3
421,4,3
422,4,3
441,0,0
442,0,0
443,0,0
444,0,0
445,1,1
446,1,1
447,3,1
448,4,1
449,6,2
450,7,2
451,7,2
452,7,2
453,7,2
454,8,4
455,9,6
456,8,5
457,6,5
458,5,4
459,4,4
460,5,5
461,5,5
462,6,6
463,5,5
464,3,3
465,2,2
466,2,2
467,3,2
468,4,3
469,5,4
470,7,5
471,5,4
472,4,3
473,4,3
474,4,3
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,1,1
499,1,1
500,4,1
501,6,2
502,7,2
503,7,2
504,7,2
505,7,2
506,7,2
507,10,5
508,11,6
509,8,5
510,6,5
511,6,5
512,4,4
513,4,4
514,6,6
515,6,6
516,6,6
517,3,3
518,2,2
519,2,2
520,3,3
521,4,4
522,5,5
523,6,5
524,5,4
525,4,3
526,4,3
527,4,3
544,0,0
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,1,1
552,3,1
553,5,1
554,6,2
555,7,2
556,7,2
557,7,2
558,7,2
559,8,3
560,10,5
561,11,6
562,9,5
563,6,5
564,6,5
565,4,4
566,4,4
567,6,6
568,6,6
569,6,6
570,4,4
571,2,2
572,2,2
573,3,3
574,4,4
575,5,5
576,6,5
577,5,4
578,4,3
579,4,3
580,4,3
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,4,1
606,5,1
607,6,2
608,7,2
609,7,2
610,7,2
611,7,2
612,8,3
613,10,5
614,10,5
615,10,5
616,6,5
617,6,5
618,5,4
619,4,4
620,5,5
621,6,6
622,6,6
623,4,4
624,2,2
625,2,2
626,3,3
627,4,4
628,5,5
629,4,4
630,5,4
631,4,3
632,4,3
633,4,3
638,0,0
639,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,3,1
659,5,1
660,6,2
661,7,2
662,7,2
663,7,2
664,7,2
665,8,3
666,10,5
667,9,4
668,9,4
669,6,5
670,6,5
671,5,4
672,4,4
673,4,4
674,5,5
675,5,5
676,4,4
677,2,2
678,2,2
679,3,3
680,4,4
681,4,4
682,4,4
683,5,4
684,4,3
685,4,3
686,4,3
691,0,0
692,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,2,0
712,5,1
713,6,2
714,7,2
715,7,2
716,7,2
717,7,2
718,7,2
719,9,4
720,9,4
721,9,4
722,5,4
723,5,4
724,4,4
725,4,4
726,3,3
727,4,4
728,4,4
729,2,2
730,1,1
731,1,1
732,1,1
733,3,3
734,4,4
735,4,4
736,3,3
737,3,3
738,4,3
739,4,3
744,0,0
745,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,1,0
765,4,0
766,4,0
767,7,2
768,7,2
769,7,2
770,6,1
771,6,1
772,8,3
773,9,4
774,7,4
775,5,4
776,4,3
777,3,3
778,3,3
779,3,3
780,3,3
781,4,4
782,2,1
783,2,1
784,2,1
785,2,1
786,3,2
787,3,3
788,3,3
789,3,3
790,3,3
791,3,3
792,3,3
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,2,0
819,4,0
820,4,0
821,6,1
822,6,1
823,6,1
824,6,1
825,6,1
826,7,4
827,7,4
828,4,3
829,3,3
830,3,3
831,3,3
832,3,3
833,4,3
834,2,1
835,1,0
836,2,1
837,2,1
838,2,1
839,2,1
840,2,1
841,2,2
842,3,3
843,3,3
844,4,3
845,4,3
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,1,0
872,2,0
873,2,0
874,4,0
875,6,1
876,6,1
877,6,1
878,4,1
879,4,1
880,4,3
